feature,IV,selected_flag,reason,business_meaning,stability_check,correlation_redundancy_check,adverse_action_explainability,final_action
term_band_exp,0.5803512547079516,True,High-IV policy-sensitive product tenor; keep with sensitivity check.,Loan term/product tenor.,Pass,Review with WOE correlation matrix; IV is not final selection criterion.,Review explanation wording and proxy risk,Keep for benchmark; revalidate before production
fico_band_exp,0.14826851472428276,True,Strong risk separation and business rationale.,External creditworthiness band.,Pass,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
dti_band_exp,0.12524362768996494,True,Strong risk separation and business rationale.,Debt burden relative to income.,Pass,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
verification_status_exp,0.11091190540874338,True,Strong risk separation and business rationale.,Income/identity verification status.,Pass,Review with WOE correlation matrix; IV is not final selection criterion.,Review explanation wording and proxy risk,Keep for benchmark; revalidate before production
loan_amount_band_exp,0.09529350889845824,True,Useful supporting driver with business rationale.,Exposure size and affordability proxy.,Watch,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
mort_acc_band_exp,0.04837821001770662,True,Useful supporting driver with business rationale.,Mortgage account experience.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
home_ownership_exp,0.04603530338571557,True,Useful supporting driver with business rationale.,Housing stability proxy.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Review explanation wording and proxy risk,Keep for benchmark; revalidate before production
income_band_exp,0.0442645421633788,True,Useful supporting driver with business rationale.,Repayment capacity proxy.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
purpose_exp,0.03241535377612989,True,Useful supporting driver with business rationale.,Loan purpose risk profile.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Review explanation wording and proxy risk,Keep for benchmark; revalidate before production
revol_util_band_exp,0.02074534561419828,True,Useful supporting driver with business rationale.,Revolving credit utilization.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
open_acc_band_exp,0.016276331101996108,True,"Low-IV supporting variable retained for broad benchmark, not final parsimonious production scorecard.",Number of open credit accounts.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
emp_length_exp,0.0089006654266555,True,"Low-IV supporting variable retained for broad benchmark, not final parsimonious production scorecard.",Employment stability proxy.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
pub_rec_band_exp,0.008815608449842733,True,"Low-IV supporting variable retained for broad benchmark, not final parsimonious production scorecard.",Public record severity.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
bankruptcy_band_exp,0.007910329605202021,True,"Low-IV supporting variable retained for broad benchmark, not final parsimonious production scorecard.",Bankruptcy history.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
revol_bal_band_exp,0.006796846357673074,True,"Low-IV supporting variable retained for broad benchmark, not final parsimonious production scorecard.",Revolving balance burden.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Keep for benchmark; revalidate before production
total_acc_band_exp,0.0017382845948784114,False,IV below benchmark threshold.,Depth of credit-file history.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Drop from benchmark
application_type_exp,5.694934161283697e-05,False,IV below benchmark threshold.,Individual or joint application.,Not in top CSI sample,Review with WOE correlation matrix; IV is not final selection criterion.,Generally explainable with standard credit-risk reason code,Drop from benchmark
